department,job,Q1,Q2,Q3,Q4
Engineering,Senior Quality Engineer,0,0,0,1
Engineering,Software Engineer I,0,0,1,1
Engineering,Software Engineer III,0,0,0,2
Engineering,Software Test Engineer I,0,0,0,1
Engineering,Software Test Engineer IV,0,0,0,1
Engineering,Staff Accountant IV,1,0,0,1
Engineering,Statistician II,0,1,0,1
Engineering,Statistician III,0,1,0,0
Engineering,Structural Analysis Engineer,0,0,1,0
Engineering,Systems Administrator II,0,0,0,1
Engineering,Tax Accountant,0,1,0,0
Engineering,Teacher,1,0,0,0
Engineering,Technical Writer,0,1,0,0
Engineering,VP Accounting,1,0,0,0
Engineering,VP Product Management,0,0,1,1
Engineering,Web Designer I,0,1,0,2
Engineering,Web Designer II,0,1,0,0
Engineering,Web Designer III,0,0,0,1
Engineering,Web Developer I,0,1,0,0
Engineering,Web Developer II,0,1,0,0
Human Resources,Account Coordinator,0,1,0,0
Human Resources,Account Representative IV,0,1,0,0
Human Resources,Accountant I,0,0,0,1
Human Resources,Accounting Assistant IV,0,1,0,1
Human Resources,Analog Circuit Design manager,0,0,0,1
Human Resources,Analyst Programmer,0,1,0,1
Human Resources,Assistant Manager,1,1,0,0
Human Resources,Associate Professor,1,0,0,1
Human Resources,Automation Specialist I,1,0,0,0
Human Resources,Automation Specialist IV,1,0,0,0
Human Resources,Budget/Accounting Analyst I,1,0,0,1
Human Resources,Budget/Accounting Analyst III,0,0,0,1
Human Resources,Clinical Specialist,0,0,0,1
Human Resources,Community Outreach Specialist,1,0,0,0
Human Resources,Cost Accountant,0,1,0,0
Human Resources,Data Coordiator,0,0,0,1
Human Resources,Database Administrator III,0,0,1,0
Human Resources,Developer III,0,0,0,2
Human Resources,Director of Sales,1,0,2,0
Human Resources,Editor,0,0,1,0
Human Resources,Engineer III,1,0,0,0
Human Resources,Engineer IV,0,1,0,0
Human Resources,Environmental Tech,0,1,0,0
Human Resources,Executive Secretary,0,1,0,1
Human Resources,Geological Engineer,0,1,0,0
Human Resources,Geologist II,0,1,1,1
Human Resources,Graphic Designer,0,1,0,0
Human Resources,Health Coach I,0,1,0,0
Human Resources,Health Coach IV,0,0,1,0
Human Resources,Human Resources Assistant III,0,0,1,0
Human Resources,Human Resources Assistant IV,0,0,1,0
Human Resources,Human Resources Manager,0,1,0,0
Human Resources,Junior Executive,1,0,0,0
Human Resources,Marketing Manager,0,1,0,0
Human Resources,Media Manager III,0,1,1,1
Human Resources,Occupational Therapist,1,0,0,1
Human Resources,Paralegal,0,0,1,0
Human Resources,Payment Adjustment Coordinator,1,0,0,0
Human Resources,Pharmacist,0,1,0,1
Human Resources,Product Engineer,0,1,0,0
Human Resources,Professor,0,0,0,1
Human Resources,Programmer III,0,2,0,0
Human Resources,Programmer IV,0,1,1,0
Human Resources,Quality Control Specialist,0,1,1,0
Human Resources,Quality Engineer,0,0,0,2
Human Resources,Recruiting Manager,1,0,0,1
Human Resources,Research Assistant I,0,0,1,0
Human Resources,Research Assistant II,0,1,0,0
Human Resources,Research Assistant IV,0,0,0,1
Human Resources,Research Associate,0,0,1,0
Human Resources,Safety Technician III,0,1,0,0
Human Resources,Senior Cost Accountant,0,0,0,2
Human Resources,Senior Editor,0,0,0,1
Human Resources,Senior Financial Analyst,0,0,2,0
Human Resources,Social Worker,0,0,0,3
Human Resources,Software Engineer I,0,1,0,2
Human Resources,Software Test Engineer IV,1,0,0,1
Human Resources,Staff Accountant IV,0,1,1,0
Human Resources,Statistician II,0,0,1,0
Human Resources,Systems Administrator II,1,0,0,0
Human Resources,Systems Administrator IV,0,0,1,0
Human Resources,Tax Accountant,0,0,0,1
Human Resources,Technical Writer,1,0,2,0
Human Resources,VP Accounting,1,0,1,1
Human Resources,VP Quality Control,0,1,0,0
Human Resources,Web Designer II,0,1,0,1
Human Resources,Web Developer I,1,0,0,0
Human Resources,Web Developer II,0,0,1,2
Legal,Accountant I,0,0,1,0
Legal,Accountant IV,0,0,1,0
Legal,Associate Professor,0,0,1,1
Legal,Biostatistician II,0,0,1,0
Legal,Budget/Accounting Analyst III,0,0,1,2
Legal,Computer Systems Analyst IV,1,0,0,0
Legal,Dental Hygienist,0,0,0,1
Legal,Engineer III,0,0,0,1
Legal,Financial Advisor,0,1,0,0
Legal,Occupational Therapist,0,1,1,0
Legal,Recruiter,0,0,1,0
Legal,Senior Financial Analyst,0,0,1,0
Legal,Software Engineer I,0,0,0,1
Legal,Software Test Engineer I,0,0,0,1
Legal,Software Test Engineer IV,0,0,1,1
Legal,Statistician II,1,0,1,0
Legal,Systems Administrator II,0,0,1,0
Legal,Tax Accountant,0,0,0,1
Legal,Teacher,0,0,0,1
Legal,Web Developer I,0,1,2,0
Legal,Web Developer III,0,0,0,1
Marketing,Account Executive,1,0,0,0
Marketing,Accountant I,1,0,0,0
Marketing,Accountant IV,0,0,1,0
Marketing,Accounting Assistant IV,0,3,0,0
Marketing,Administrative Assistant I,1,0,0,0
Marketing,Analyst Programmer,0,1,1,0
Marketing,Assistant Professor,0,1,1,0
Marketing,Associate Professor,1,0,0,0
Marketing,Biostatistician II,0,1,0,2
Marketing,Biostatistician III,0,0,2,1
Marketing,Budget/Accounting Analyst II,1,0,0,1
Marketing,Budget/Accounting Analyst IV,0,1,0,0
Marketing,Chemical Engineer,0,0,0,1
Marketing,Civil Engineer,0,0,1,0
Marketing,Computer Systems Analyst II,0,1,0,0
Marketing,Computer Systems Analyst III,0,1,0,0
Marketing,Computer Systems Analyst IV,0,1,2,0
Marketing,Cost Accountant,2,0,0,1
Marketing,Data Coordiator,1,1,0,0
Marketing,Database Administrator III,0,0,0,1
Marketing,Dental Hygienist,0,1,0,0
Marketing,Desktop Support Technician,1,0,0,0
Marketing,Electrical Engineer,0,0,1,0
Marketing,Environmental Tech,0,0,0,1
Marketing,Executive Secretary,1,0,0,0
Marketing,Financial Analyst,0,0,1,0
Marketing,Food Chemist,1,2,0,0
Marketing,GIS Technical Architect,0,0,0,1
Marketing,Geologist II,0,0,0,1
Marketing,Human Resources Assistant III,1,0,0,0
Marketing,Human Resources Manager,0,1,0,0
Marketing,Mechanical Systems Engineer,2,0,0,0
Marketing,Media Manager IV,0,1,0,0
Marketing,Nurse Practicioner,0,0,1,0
Marketing,Office Assistant III,0,1,0,0
Marketing,Pharmacist,0,0,2,0
Marketing,Physical Therapy Assistant,0,0,1,0
Marketing,Programmer IV,0,0,1,0
Marketing,Quality Control Specialist,0,0,0,1
Marketing,Recruiting Manager,0,0,0,1
Marketing,Registered Nurse,0,0,0,1
Marketing,Safety Technician I,0,1,0,0
Marketing,Safety Technician II,1,0,0,1
Marketing,Safety Technician IV,0,0,1,0
Marketing,Sales Representative,0,1,0,0
Marketing,Senior Cost Accountant,0,0,1,0
Marketing,Senior Editor,1,0,0,0
Marketing,Software Engineer IV,0,0,0,1
Marketing,Staff Accountant II,1,0,0,0
Marketing,Staff Accountant III,1,0,0,0
Marketing,Statistician II,0,1,1,0
Marketing,Systems Administrator IV,0,1,0,0
Marketing,Tax Accountant,0,1,0,1
Marketing,Teacher,1,0,1,0
Marketing,Technical Writer,1,0,0,0
Marketing,VP Accounting,0,0,1,0
Marketing,Web Designer I,0,0,1,0
Marketing,Web Developer I,0,0,1,0
Marketing,Web Developer III,0,0,1,0
Product Management,Account Representative III,1,0,0,0
Product Management,Analyst Programmer,0,0,1,0
Product Management,Assistant Manager,1,0,0,0
Product Management,Automation Specialist I,1,0,0,0
Product Management,Budget/Accounting Analyst IV,1,0,0,0
Product Management,Cost Accountant,1,0,0,0
Product Management,Database Administrator I,0,0,0,1
Product Management,Electrical Engineer,0,0,0,1
Product Management,Engineer IV,0,0,1,0
Product Management,Geological Engineer,0,1,0,0
Product Management,Graphic Designer,0,1,0,0
Product Management,Help Desk Technician,0,1,0,0
Product Management,Junior Executive,0,0,0,1
Product Management,Legal Assistant,0,1,0,0
Product Management,Payment Adjustment Coordinator,1,0,0,0
Product Management,Physical Therapy Assistant,0,0,0,1
Product Management,Programmer IV,0,1,0,0
Product Management,Research Assistant II,0,1,0,0
Product Management,Software Consultant,0,0,1,0
Product Management,Software Test Engineer I,0,1,0,0
Product Management,Technical Writer,0,0,1,0
Research and Development,Account Executive,0,0,0,1
Research and Development,Accounting Assistant IV,0,0,0,1
Research and Development,Analog Circuit Design manager,0,0,1,0
Research and Development,Assistant Professor,0,0,0,1
Research and Development,Associate Professor,0,0,1,0
Research and Development,Automation Specialist I,0,0,0,1
Research and Development,Biostatistician II,1,0,0,0
Research and Development,Biostatistician III,0,0,0,1
Research and Development,Budget/Accounting Analyst IV,0,1,0,0
Research and Development,Chemical Engineer,0,0,1,0
Research and Development,Chief Design Engineer,0,2,0,0
Research and Development,Compensation Analyst,0,0,1,0
Research and Development,Cost Accountant,1,0,0,0
Research and Development,Data Coordiator,0,0,0,1
Research and Development,Database Administrator II,0,0,1,0
Research and Development,Director of Sales,0,0,1,0
Research and Development,Executive Secretary,0,1,0,1
Research and Development,Food Chemist,0,0,0,1
Research and Development,General Manager,1,0,0,0
Research and Development,Geologist II,1,1,0,0
Research and Development,Geologist IV,0,0,1,0
Research and Development,Graphic Designer,0,0,0,1
Research and Development,Information Systems Manager,0,0,1,0
Research and Development,Internal Auditor,0,0,1,0
Research and Development,Junior Executive,0,0,1,0
Research and Development,Legal Assistant,0,0,1,0
Research and Development,Media Manager III,0,1,1,1
Research and Development,Nuclear Power Engineer,0,0,1,0
Research and Development,Operator,0,0,0,1
Research and Development,Paralegal,0,1,0,0
Research and Development,Pharmacist,1,0,0,0
Research and Development,Programmer I,0,1,0,1
Research and Development,Quality Control Specialist,0,1,1,0
Research and Development,Recruiter,0,0,2,1
Research and Development,Recruiting Manager,1,0,0,0
Research and Development,Registered Nurse,1,0,0,0
Research and Development,Research Assistant II,0,1,0,0
Research and Development,Research Associate,0,1,0,0
Research and Development,Sales Representative,0,1,0,0
Research and Development,Senior Cost Accountant,0,0,1,0
Research and Development,Senior Developer,0,1,0,0
Research and Development,Senior Editor,1,0,0,1
Research and Development,Senior Financial Analyst,0,0,0,1
Research and Development,Software Test Engineer I,1,0,0,0
Research and Development,Staff Accountant IV,0,0,1,0
Research and Development,Statistician I,0,0,0,1
Research and Development,Statistician II,1,0,0,1
Research and Development,Structural Engineer,1,1,1,0
Research and Development,Systems Administrator II,0,1,0,0
Research and Development,Teacher,0,1,2,0
Research and Development,Technical Writer,0,0,0,1
Research and Development,VP Accounting,0,0,0,1
Research and Development,Web Designer II,0,0,0,1
Research and Development,Web Developer III,0,0,0,1
Sales,Account Executive,0,1,0,0
Sales,Accounting Assistant II,0,1,0,0
Sales,Assistant Manager,0,0,1,0
Sales,Assistant Professor,0,0,2,0
Sales,Budget/Accounting Analyst IV,0,0,2,0
Sales,Computer Systems Analyst IV,0,0,0,1
Sales,Cost Accountant,1,1,0,0
Sales,Director of Sales,0,1,0,1
Sales,Engineer IV,0,1,0,0
Sales,Geologist II,0,2,0,0
Sales,Geologist IV,0,0,0,1
Sales,Health Coach I,1,0,0,0
Sales,Health Coach III,0,0,1,2
Sales,Human Resources Manager,0,1,0,0
Sales,Librarian,0,1,0,0
Sales,Nurse Practicioner,1,0,0,0
Sales,Pharmacist,0,0,0,1
Sales,Programmer IV,0,0,0,2
Sales,Recruiter,0,1,0,0
Sales,Research Assistant II,1,1,0,0
Sales,Research Assistant IV,0,1,0,0
Sales,Software Test Engineer IV,0,1,0,0
Sales,Staff Scientist,0,0,0,1
Sales,Systems Administrator IV,1,0,0,0
Sales,Teacher,0,0,1,0
Sales,VP Accounting,0,0,0,1
Sales,Web Developer III,0,0,0,1
Services,Account Executive,0,0,1,0
Services,Accountant I,0,0,0,1
Services,Accountant III,0,0,1,0
Services,Accounting Assistant I,0,1,0,0
Services,Analog Circuit Design manager,0,0,0,1
Services,Analyst Programmer,0,0,0,1
Services,Assistant Professor,0,0,0,1
Services,Associate Professor,0,0,2,0
Services,Biostatistician II,0,1,0,0
Services,Biostatistician III,0,0,1,0
Services,Biostatistician IV,0,1,0,0
Services,Budget/Accounting Analyst II,0,0,1,0
Services,Budget/Accounting Analyst III,0,2,0,0
Services,Budget/Accounting Analyst IV,0,1,0,0
Services,Civil Engineer,0,0,0,1
Services,Clinical Specialist,0,1,1,0
Services,Community Outreach Specialist,0,1,2,0
Services,Computer Systems Analyst IV,0,0,1,0
Services,Cost Accountant,1,0,0,0
Services,Data Coordiator,0,1,0,1
Services,Database Administrator I,0,0,1,0
Services,Dental Hygienist,0,1,0,0
Services,Developer I,0,1,1,0
Services,Developer II,0,1,0,0
Services,Engineer III,0,0,3,0
Services,Engineer IV,0,1,0,0
Services,Environmental Tech,0,1,0,0
Services,Executive Secretary,0,0,1,0
Services,Food Chemist,0,1,0,2
Services,GIS Technical Architect,0,1,0,0
Services,General Manager,0,1,0,0
Services,Geologist I,0,0,1,0
Services,Geologist II,0,1,0,0
Services,Geologist IV,0,0,0,2
Services,Human Resources Assistant II,0,1,0,0
Services,Human Resources Assistant IV,1,0,0,0
Services,Internal Auditor,0,2,0,0
Services,Junior Executive,0,0,1,0
Services,Legal Assistant,1,0,0,0
Services,Librarian,0,1,0,1
Services,Media Manager III,0,0,0,2
Services,Nuclear Power Engineer,1,0,0,0
Services,Occupational Therapist,0,1,1,0
Services,Payment Adjustment Coordinator,0,0,0,1
Services,Pharmacist,0,0,0,1
Services,Physical Therapy Assistant,0,1,0,0
Services,Professor,0,0,0,1
Services,Programmer I,0,0,2,0
Services,Programmer III,0,0,1,0
Services,Programmer IV,1,3,0,2
Services,Quality Control Specialist,0,0,1,1
Services,Quality Engineer,0,0,1,1
Services,Recruiter,0,0,0,1
Services,Recruiting Manager,0,0,1,0
Services,Research Assistant II,0,0,0,1
Services,Research Assistant IV,0,1,1,0
Services,Safety Technician IV,0,0,0,1
Services,Sales Representative,0,1,0,0
Services,Senior Cost Accountant,0,1,0,0
Services,Senior Editor,0,1,0,0
Services,Software Engineer I,0,2,0,2
Services,Software Engineer III,1,0,0,0
Services,Software Test Engineer III,0,0,0,1
Services,Statistician I,1,0,0,0
Services,Statistician II,1,0,0,1
Services,Structural Analysis Engineer,0,1,0,0
Services,Systems Administrator IV,1,0,1,0
Services,VP Product Management,0,0,1,0
Services,Web Designer II,0,1,1,0
Services,Web Designer III,1,0,0,0
Services,Web Developer II,0,1,0,0
Support,Account Executive,0,0,2,1
Support,Account Representative IV,0,1,0,1
Support,Accounting Assistant I,1,0,1,0
Support,Accounting Assistant III,0,0,1,0
Support,Accounting Assistant IV,0,2,0,0
Support,Actuary,0,0,0,1
Support,Administrative Assistant III,0,1,0,0
Support,Analog Circuit Design manager,1,0,0,0
Support,Analyst Programmer,0,0,1,0
Support,Assistant Manager,1,0,1,0
Support,Assistant Media Planner,0,0,0,1
Support,Assistant Professor,0,1,0,0
Support,Associate Professor,0,1,0,0
Support,Automation Specialist I,0,0,1,0
Support,Automation Specialist IV,0,0,0,1
Support,Biostatistician II,0,0,1,0
Support,Biostatistician III,0,0,0,2
Support,Budget/Accounting Analyst IV,1,0,0,0
Support,Chief Design Engineer,1,1,0,0
Support,Civil Engineer,0,1,0,0
Support,Clinical Specialist,0,0,1,2
Support,Cost Accountant,0,0,0,1
Support,Database Administrator III,0,1,1,0
Support,Dental Hygienist,0,0,1,0
Support,Director of Sales,1,0,0,0
Support,Editor,0,0,1,1
Support,Engineer III,0,0,0,1
Support,Engineer IV,0,1,1,0
Support,Executive Secretary,1,0,0,0
Support,GIS Technical Architect,0,1,0,0
Support,General Manager,0,1,0,0
Support,Geological Engineer,0,0,1,0
Support,Geologist IV,1,0,0,0
Support,Graphic Designer,0,0,1,0
Support,Health Coach III,0,0,0,1
Support,Health Coach IV,0,0,0,1
Support,Human Resources Assistant II,0,0,1,0
Support,Human Resources Assistant III,0,1,0,0
Support,Human Resources Assistant IV,0,1,0,0
Support,Junior Executive,0,0,0,1
Support,Marketing Manager,0,1,0,0
Support,Nurse Practicioner,0,1,0,0
Support,Occupational Therapist,0,0,1,0
Support,Pharmacist,0,1,0,0
Support,Product Engineer,0,0,0,1
Support,Professor,0,0,1,0
Support,Programmer Analyst II,1,0,1,0
Support,Programmer III,1,0,0,0
Support,Programmer IV,0,0,3,2
Support,Project Manager,0,0,1,0
Support,Quality Engineer,1,0,0,0
Support,Recruiter,2,3,1,1
Support,Registered Nurse,0,0,1,0
Support,Sales Representative,0,1,0,0
Support,Senior Cost Accountant,0,0,1,0
Support,Senior Developer,0,0,1,0
Support,Senior Editor,0,0,0,3
Support,Senior Financial Analyst,1,1,0,1
Support,Social Worker,0,0,1,0
Support,Software Engineer III,0,0,0,1
Support,Software Test Engineer IV,0,1,0,0
Support,Staff Accountant III,0,0,1,0
Support,Statistician I,0,1,0,0
Support,Structural Analysis Engineer,0,1,0,0
Support,Systems Administrator IV,2,3,0,0
Support,Teacher,0,0,1,0
Support,Technical Writer,0,1,1,0
Support,VP Accounting,0,1,0,0
Support,VP Quality Control,0,0,0,1
Support,Web Designer I,0,3,0,0
Support,Web Designer II,0,2,1,0
Support,Web Designer IV,0,0,1,1
Support,Web Developer I,0,0,1,0
Support,Web Developer II,0,0,0,1
Support,Web Developer III,0,1,0,0
Training,Accountant IV,0,1,0,0
Training,Analyst Programmer,0,0,2,0
Training,Budget/Accounting Analyst III,0,0,0,1
Training,Budget/Accounting Analyst IV,0,0,1,0
Training,Community Outreach Specialist,0,1,0,0
Training,Database Administrator II,1,1,0,0
Training,Database Administrator III,0,0,0,2
Training,Dental Hygienist,1,0,0,0
Training,Design Engineer,0,1,0,0
Training,Editor,0,1,0,0
Training,Engineer III,0,0,0,1
Training,Financial Analyst,0,0,0,1
Training,Food Chemist,1,1,2,1
Training,Geological Engineer,0,0,0,1
Training,Geologist II,0,0,1,1
Training,Geologist IV,0,1,0,0
Training,Graphic Designer,0,1,0,0
Training,Health Coach IV,0,1,0,0
Training,Human Resources Assistant II,0,1,0,0
Training,Human Resources Assistant IV,0,0,0,1
Training,Information Systems Manager,0,0,1,0
Training,Internal Auditor,0,1,1,0
Training,Mechanical Systems Engineer,1,0,0,0
Training,Media Manager III,0,0,0,1
Training,Nuclear Power Engineer,0,0,1,0
Training,Office Assistant II,0,0,1,0
Training,Operator,0,0,1,0
Training,Pharmacist,0,2,1,0
Training,Programmer I,0,0,1,0
Training,Programmer IV,0,1,1,0
Training,Quality Control Specialist,0,0,1,0
Training,Quality Engineer,1,0,0,0
Training,Research Assistant IV,0,0,0,1
Training,Sales Representative,0,0,1,0
Training,Senior Editor,0,0,0,1
Training,Senior Financial Analyst,0,0,0,1
Training,Software Engineer I,0,0,0,1
Training,Software Test Engineer IV,1,0,0,0
Training,Staff Accountant III,0,0,0,1
Training,Staff Accountant IV,0,0,1,0
Training,Staff Scientist,0,0,2,0
Training,Structural Analysis Engineer,1,0,0,0
Training,Systems Administrator IV,1,0,0,0
Training,Teacher,0,2,0,0
Training,Technical Writer,0,0,1,0
Training,Web Developer III,0,1,0,0
